"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 04 00:17:59 GMT 2022","Sun Sep 04 00:17:59 GMT 2022","139","chromium","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:18:14 GMT 2022","Sun Sep 04 00:18:15 GMT 2022","949","webkit","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:18:04 GMT 2022","Sun Sep 04 00:18:04 GMT 2022","247","firefox","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:18:14 GMT 2022","Sun Sep 04 00:18:14 GMT 2022","490","webkit","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:17:59 GMT 2022","Sun Sep 04 00:17:59 GMT 2022","134","chromium","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:18:14 GMT 2022","Sun Sep 04 00:18:14 GMT 2022","325","webkit","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:18:04 GMT 2022","Sun Sep 04 00:18:04 GMT 2022","252","firefox","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:18:13 GMT 2022","Sun Sep 04 00:18:13 GMT 2022","283","webkit","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:17:57 GMT 2022","Sun Sep 04 00:17:58 GMT 2022","1062","chromium","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 00:18:05 GMT 2022","Sun Sep 04 00:18:05 GMT 2022","282","firefox","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:18:12 GMT 2022","Sun Sep 04 00:18:12 GMT 2022","320","webkit","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:18:13 GMT 2022","Sun Sep 04 00:18:14 GMT 2022","324","webkit","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:18:03 GMT 2022","Sun Sep 04 00:18:04 GMT 2022","235","firefox","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:18:03 GMT 2022","Sun Sep 04 00:18:03 GMT 2022","260","firefox","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:18:01 GMT 2022","Sun Sep 04 00:18:03 GMT 2022","2424","firefox","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 00:17:58 GMT 2022","Sun Sep 04 00:17:59 GMT 2022","132","chromium","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:17:59 GMT 2022","Sun Sep 04 00:17:59 GMT 2022","131","chromium","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:17:59 GMT 2022","Sun Sep 04 00:17:59 GMT 2022","193","chromium","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:18:07 GMT 2022","Sun Sep 04 00:18:12 GMT 2022","5292","webkit","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 00:18:13 GMT 2022","Sun Sep 04 00:18:13 GMT 2022","315","webkit","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:18:04 GMT 2022","Sun Sep 04 00:18:05 GMT 2022","284","firefox","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:18:04 GMT 2022","Sun Sep 04 00:18:04 GMT 2022","245","firefox","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:18:12 GMT 2022","Sun Sep 04 00:18:13 GMT 2022","344","webkit","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:17:59 GMT 2022","Sun Sep 04 00:18:00 GMT 2022","736","chromium","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:17:59 GMT 2022","Sun Sep 04 00:17:59 GMT 2022","118","chromium","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:17:59 GMT 2022","Sun Sep 04 00:17:59 GMT 2022","130","chromium","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:18:05 GMT 2022","Sun Sep 04 00:18:06 GMT 2022","754","firefox","example.spec.ts","","","","basic tes88t",""
