"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 04 00:14:42 GMT 2022","Sun Sep 04 00:14:44 GMT 2022","1459","firefox","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:14:56 GMT 2022","Sun Sep 04 00:14:56 GMT 2022","293","webkit","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:14:57 GMT 2022","Sun Sep 04 00:14:58 GMT 2022","497","webkit","example.spec.ts","","","","basic test 6",""
"failed","Sun Sep 04 00:14:37 GMT 2022","Sun Sep 04 00:14:37 GMT 2022","408","chromium","example.spec.ts","","","","last created issue should be first in the list",""
"passed","Sun Sep 04 00:14:57 GMT 2022","Sun Sep 04 00:14:57 GMT 2022","324","webkit","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:14:56 GMT 2022","Sun Sep 04 00:14:56 GMT 2022","315","webkit","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:14:57 GMT 2022","Sun Sep 04 00:14:57 GMT 2022","322","webkit","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:14:41 GMT 2022","Sun Sep 04 00:14:41 GMT 2022","248","firefox","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:14:35 GMT 2022","Sun Sep 04 00:14:35 GMT 2022","474","chromium","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:14:41 GMT 2022","Sun Sep 04 00:14:41 GMT 2022","266","firefox","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:14:56 GMT 2022","Sun Sep 04 00:14:57 GMT 2022","333","webkit","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:14:42 GMT 2022","Sun Sep 04 00:14:42 GMT 2022","246","firefox","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:14:34 GMT 2022","Sun Sep 04 00:14:34 GMT 2022","132","chromium","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:14:41 GMT 2022","Sun Sep 04 00:14:41 GMT 2022","246","firefox","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:14:58 GMT 2022","Sun Sep 04 00:14:59 GMT 2022","731","webkit","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:14:34 GMT 2022","Sun Sep 04 00:14:34 GMT 2022","139","chromium","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:14:38 GMT 2022","Sun Sep 04 00:14:41 GMT 2022","2645","firefox","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"failed","Sun Sep 04 00:14:48 GMT 2022","Sun Sep 04 00:14:50 GMT 2022","1822","firefox","example.spec.ts","","","","last created issue should be first in the list",""
"passed","Sun Sep 04 00:14:34 GMT 2022","Sun Sep 04 00:14:34 GMT 2022","134","chromium","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:14:42 GMT 2022","Sun Sep 04 00:14:42 GMT 2022","276","firefox","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:14:34 GMT 2022","Sun Sep 04 00:14:35 GMT 2022","217","chromium","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:14:34 GMT 2022","Sun Sep 04 00:14:34 GMT 2022","130","chromium","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:14:41 GMT 2022","Sun Sep 04 00:14:42 GMT 2022","249","firefox","example.spec.ts","","","","basic test 4",""
"failed","Sun Sep 04 00:15:01 GMT 2022","Sun Sep 04 00:15:02 GMT 2022","932","webkit","example.spec.ts","","","","last created issue should be first in the list",""
"passed","Sun Sep 04 00:14:42 GMT 2022","Sun Sep 04 00:14:42 GMT 2022","241","firefox","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:14:50 GMT 2022","Sun Sep 04 00:14:56 GMT 2022","5477","webkit","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 00:14:35 GMT 2022","Sun Sep 04 00:14:35 GMT 2022","139","chromium","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:14:34 GMT 2022","Sun Sep 04 00:14:34 GMT 2022","136","chromium","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:14:58 GMT 2022","Sun Sep 04 00:14:58 GMT 2022","324","webkit","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:14:33 GMT 2022","Sun Sep 04 00:14:34 GMT 2022","1068","chromium","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
