"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 04 00:54:23 GMT 2022","Sun Sep 04 00:54:23 GMT 2022","156","chromium","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:55:10 GMT 2022","Sun Sep 04 00:55:11 GMT 2022","376","webkit","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:55:11 GMT 2022","Sun Sep 04 00:55:12 GMT 2022","341","webkit","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:54:22 GMT 2022","Sun Sep 04 00:54:23 GMT 2022","1338","chromium","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 00:54:39 GMT 2022","Sun Sep 04 00:54:39 GMT 2022","318","firefox","example.spec.ts","","","","basic test 4",""
"failed","Sun Sep 04 00:55:19 GMT 2022","Sun Sep 04 00:55:22 GMT 2022","3020","webkit","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 00:55:13 GMT 2022","Sun Sep 04 00:55:13 GMT 2022","357","webkit","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:54:24 GMT 2022","Sun Sep 04 00:54:24 GMT 2022","149","chromium","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:54:24 GMT 2022","Sun Sep 04 00:54:24 GMT 2022","153","chromium","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:54:24 GMT 2022","Sun Sep 04 00:54:24 GMT 2022","168","chromium","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:54:40 GMT 2022","Sun Sep 04 00:54:42 GMT 2022","1493","firefox","example.spec.ts","","","","basic tes88t",""
"failed","Sun Sep 04 00:55:28 GMT 2022","Sun Sep 04 00:55:31 GMT 2022","3155","webkit","example.spec.ts","","","","example test 2",""
"passed","Sun Sep 04 00:55:12 GMT 2022","Sun Sep 04 00:55:12 GMT 2022","353","webkit","example.spec.ts","","","","basic test 4",""
"failed","Sun Sep 04 00:55:01 GMT 2022","Sun Sep 04 00:55:05 GMT 2022","3569","firefox","example.spec.ts","","","","example test 2",""
"passed","Sun Sep 04 00:54:23 GMT 2022","Sun Sep 04 00:54:24 GMT 2022","160","chromium","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:55:12 GMT 2022","Sun Sep 04 00:55:12 GMT 2022","375","webkit","example.spec.ts","","","","basic test 5",""
"failed","Sun Sep 04 00:54:33 GMT 2022","Sun Sep 04 00:54:34 GMT 2022","1377","chromium","example.spec.ts","","","","example test 2",""
"passed","Sun Sep 04 00:55:05 GMT 2022","Sun Sep 04 00:55:10 GMT 2022","5011","webkit","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 00:54:24 GMT 2022","Sun Sep 04 00:54:24 GMT 2022","228","chromium","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:55:12 GMT 2022","Sun Sep 04 00:55:13 GMT 2022","526","webkit","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:54:40 GMT 2022","Sun Sep 04 00:54:40 GMT 2022","314","firefox","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:54:40 GMT 2022","Sun Sep 04 00:54:40 GMT 2022","328","firefox","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:54:24 GMT 2022","Sun Sep 04 00:54:25 GMT 2022","500","chromium","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:55:13 GMT 2022","Sun Sep 04 00:55:14 GMT 2022","927","webkit","example.spec.ts","","","","basic tes88t",""
"failed","Sun Sep 04 00:54:48 GMT 2022","Sun Sep 04 00:54:53 GMT 2022","4372","firefox","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 00:54:23 GMT 2022","Sun Sep 04 00:54:23 GMT 2022","162","chromium","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:54:38 GMT 2022","Sun Sep 04 00:54:39 GMT 2022","334","firefox","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:55:11 GMT 2022","Sun Sep 04 00:55:11 GMT 2022","370","webkit","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:54:39 GMT 2022","Sun Sep 04 00:54:39 GMT 2022","289","firefox","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:54:39 GMT 2022","Sun Sep 04 00:54:39 GMT 2022","292","firefox","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:54:35 GMT 2022","Sun Sep 04 00:54:38 GMT 2022","3134","firefox","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"failed","Sun Sep 04 00:54:28 GMT 2022","Sun Sep 04 00:54:29 GMT 2022","1404","chromium","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 00:54:39 GMT 2022","Sun Sep 04 00:54:40 GMT 2022","303","firefox","example.spec.ts","","","","basic test 5",""
