"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 04 00:52:15 GMT 2022","Sun Sep 04 00:52:18 GMT 2022","2968","webkit","example.spec.ts","","","","example test 2",""
"failed","Sun Sep 04 00:51:13 GMT 2022","Sun Sep 04 00:51:14 GMT 2022","1332","chromium","example.spec.ts","","","","example test 2",""
"passed","Sun Sep 04 00:51:03 GMT 2022","Sun Sep 04 00:51:03 GMT 2022","145","chromium","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:51:20 GMT 2022","Sun Sep 04 00:51:21 GMT 2022","308","firefox","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:51:20 GMT 2022","Sun Sep 04 00:51:20 GMT 2022","301","firefox","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:51:03 GMT 2022","Sun Sep 04 00:51:03 GMT 2022","155","chromium","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:51:19 GMT 2022","Sun Sep 04 00:51:19 GMT 2022","283","firefox","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:51:58 GMT 2022","Sun Sep 04 00:51:58 GMT 2022","373","webkit","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:51:04 GMT 2022","Sun Sep 04 00:51:04 GMT 2022","159","chromium","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:51:57 GMT 2022","Sun Sep 04 00:51:58 GMT 2022","373","webkit","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:51:59 GMT 2022","Sun Sep 04 00:51:59 GMT 2022","338","webkit","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:51:59 GMT 2022","Sun Sep 04 00:52:00 GMT 2022","573","webkit","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:52:00 GMT 2022","Sun Sep 04 00:52:01 GMT 2022","1189","webkit","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:51:19 GMT 2022","Sun Sep 04 00:51:20 GMT 2022","287","firefox","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:51:00 GMT 2022","Sun Sep 04 00:51:03 GMT 2022","3338","chromium","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"failed","Sun Sep 04 00:51:08 GMT 2022","Sun Sep 04 00:51:09 GMT 2022","1311","chromium","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 00:51:19 GMT 2022","Sun Sep 04 00:51:19 GMT 2022","281","firefox","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:52:00 GMT 2022","Sun Sep 04 00:52:00 GMT 2022","373","webkit","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:51:20 GMT 2022","Sun Sep 04 00:51:20 GMT 2022","281","firefox","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:51:03 GMT 2022","Sun Sep 04 00:51:04 GMT 2022","156","chromium","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:51:58 GMT 2022","Sun Sep 04 00:51:59 GMT 2022","327","webkit","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:51:03 GMT 2022","Sun Sep 04 00:51:03 GMT 2022","148","chromium","example.spec.ts","","","","basic test 3",""
"failed","Sun Sep 04 00:51:30 GMT 2022","Sun Sep 04 00:51:34 GMT 2022","3738","firefox","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 00:51:04 GMT 2022","Sun Sep 04 00:51:04 GMT 2022","235","chromium","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:51:21 GMT 2022","Sun Sep 04 00:51:21 GMT 2022","286","firefox","example.spec.ts","","","","basic test 77",""
"failed","Sun Sep 04 00:52:06 GMT 2022","Sun Sep 04 00:52:09 GMT 2022","3228","webkit","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 00:51:04 GMT 2022","Sun Sep 04 00:51:05 GMT 2022","1036","chromium","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:51:21 GMT 2022","Sun Sep 04 00:51:23 GMT 2022","2255","firefox","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:51:15 GMT 2022","Sun Sep 04 00:51:19 GMT 2022","3859","firefox","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 00:51:58 GMT 2022","Sun Sep 04 00:51:58 GMT 2022","405","webkit","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:51:04 GMT 2022","Sun Sep 04 00:51:04 GMT 2022","145","chromium","example.spec.ts","","","","basic test 77",""
"failed","Sun Sep 04 00:51:42 GMT 2022","Sun Sep 04 00:51:45 GMT 2022","3369","firefox","example.spec.ts","","","","example test 2",""
"passed","Sun Sep 04 00:51:46 GMT 2022","Sun Sep 04 00:51:57 GMT 2022","11440","webkit","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
