"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 03 23:17:23 GMT 2022","Sat Sep 03 23:17:26 GMT 2022","2737","chromium","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sat Sep 03 23:17:26 GMT 2022","Sat Sep 03 23:17:30 GMT 2022","3311","firefox","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sat Sep 03 23:17:31 GMT 2022","Sat Sep 03 23:17:42 GMT 2022","11040","webkit","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
