"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 04 01:06:16 GMT 2022","Sun Sep 04 01:06:16 GMT 2022","169","chromium","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 01:06:33 GMT 2022","Sun Sep 04 01:06:33 GMT 2022","297","firefox","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 01:06:17 GMT 2022","Sun Sep 04 01:06:17 GMT 2022","773","chromium","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 01:06:15 GMT 2022","Sun Sep 04 01:06:16 GMT 2022","162","chromium","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 01:06:34 GMT 2022","Sun Sep 04 01:06:34 GMT 2022","358","firefox","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 01:07:07 GMT 2022","Sun Sep 04 01:07:07 GMT 2022","427","webkit","example.spec.ts","","","","basic test",""
"failed","Sun Sep 04 01:06:57 GMT 2022","Sun Sep 04 01:07:01 GMT 2022","3755","firefox","example.spec.ts","","","","example test 2",""
"passed","Sun Sep 04 01:06:16 GMT 2022","Sun Sep 04 01:06:16 GMT 2022","168","chromium","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 01:07:09 GMT 2022","Sun Sep 04 01:07:09 GMT 2022","521","webkit","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 01:06:34 GMT 2022","Sun Sep 04 01:06:36 GMT 2022","1912","firefox","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 01:06:16 GMT 2022","Sun Sep 04 01:06:16 GMT 2022","162","chromium","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 01:06:32 GMT 2022","Sun Sep 04 01:06:33 GMT 2022","310","firefox","example.spec.ts","","","","basic test 2",""
"failed","Sun Sep 04 01:06:21 GMT 2022","Sun Sep 04 01:06:22 GMT 2022","1484","chromium","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 01:06:16 GMT 2022","Sun Sep 04 01:06:16 GMT 2022","165","chromium","example.spec.ts","","","","basic test 5",""
"failed","Sun Sep 04 01:07:26 GMT 2022","Sun Sep 04 01:07:29 GMT 2022","2451","webkit","example.spec.ts","","","","example test 2",""
"passed","Sun Sep 04 01:06:16 GMT 2022","Sun Sep 04 01:06:17 GMT 2022","251","chromium","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 01:06:17 GMT 2022","Sun Sep 04 01:06:17 GMT 2022","162","chromium","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 01:07:09 GMT 2022","Sun Sep 04 01:07:10 GMT 2022","377","webkit","example.spec.ts","","","","basic test 77",""
"failed","Sun Sep 04 01:06:44 GMT 2022","Sun Sep 04 01:06:48 GMT 2022","3634","firefox","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 01:07:08 GMT 2022","Sun Sep 04 01:07:09 GMT 2022","412","webkit","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 01:07:07 GMT 2022","Sun Sep 04 01:07:08 GMT 2022","369","webkit","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 01:06:29 GMT 2022","Sun Sep 04 01:06:32 GMT 2022","3454","firefox","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 01:07:08 GMT 2022","Sun Sep 04 01:07:08 GMT 2022","390","webkit","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 01:07:10 GMT 2022","Sun Sep 04 01:07:11 GMT 2022","1121","webkit","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 01:06:32 GMT 2022","Sun Sep 04 01:06:32 GMT 2022","310","firefox","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 01:06:14 GMT 2022","Sun Sep 04 01:06:15 GMT 2022","1480","chromium","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 01:06:33 GMT 2022","Sun Sep 04 01:06:33 GMT 2022","317","firefox","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 01:06:34 GMT 2022","Sun Sep 04 01:06:34 GMT 2022","324","firefox","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 01:07:09 GMT 2022","Sun Sep 04 01:07:09 GMT 2022","402","webkit","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 01:07:01 GMT 2022","Sun Sep 04 01:07:07 GMT 2022","5683","webkit","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"failed","Sun Sep 04 01:06:26 GMT 2022","Sun Sep 04 01:06:28 GMT 2022","1463","chromium","example.spec.ts","","","","example test 2",""
"failed","Sun Sep 04 01:07:16 GMT 2022","Sun Sep 04 01:07:19 GMT 2022","2761","webkit","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 01:06:33 GMT 2022","Sun Sep 04 01:06:34 GMT 2022","325","firefox","example.spec.ts","","","","basic test 5",""
